Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belarus,Renewable energy share of Total Energy Produced (%),4.982605158,5.52647284,5.762729128,5.597988627,5.655517318,6.153239941,6.488678526,6.622275694,6.487347262,6.778641202,7.016370184,7.378483424,7.249393996,7.009208669,6.634180601,6.770869532
Belgium,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belgium,Renewable electricity share of total electricity output (%),1.261280852,1.36737134,1.405997109,1.426502794,1.774684955,2.457151524,3.499786598,3.982725528,5.285763852,6.056388215,6.920806113,9.410879188,12.81287904,14.20938611,17.0806411,20.80002301
Belgium,Renewable energy share of Total Energy Produced (%),1.447083486,1.584987781,1.685710341,1.891079819,2.02423789,2.466935523,2.826623887,3.329081249,3.911750297,4.833459354,5.837391476,6.632065148,7.758729066,8.129434523,9.073995098,9.201640531
Belize,Access to electricity (% of total population),89.84365845,89.94104004,90.02607727,90.10482788,90.18335724,90.26773071,90.98853086,90.47825623,90.61502075,90.77281189,89.91722437,91.68173599,91.3423233,91.55418396,91.77205658,91.8
Belize,Renewable electricity share of total electricity output (%),70.0729927,69.0647482,67.14285714,40.96385542,43.07814788,44.14180275,84.77177737,82.2754469,94.74758595,79.29142145,63.38095209,62.94159847,49.19400582,55.81301319,50.70547537,45.23993047
Belize,Renewable energy share of Total Energy Produced (%),34.55258952,29.6083937,31.19301381,30.17495297,32.01770938,31.01284057,36.80160928,32.31068833,34.06292214,26.61718863,33.7103437,31.02376044,37.11449396,34.6588617,36.90616801,35.0236296
Benin,Access to electricity (% of total population),20.66779709,21.9,23.14573288,24.37224388,25.59853554,26.8306675,27.9,29.33671188,30.62123871,31.92679214,34.2,36.9,38.4,37.29920578,34.1,40.03347778
Benin,Renewable electricity share of total electricity output (%),2.380952381,3.03030303,3.174603175,2.5,1.234567901,0.934579439,2.597402597,1.363636364,1.310043668,0.78125,0.869565217,0,0,0,0,5.555555556
Benin,Renewable energy share of Total Energy Produced (%),70.28899198,66.85370117,64.03772072,61.73019321,60.69054957,59.19080917,57.302921,54.48609571,54.75762224,52.82784348,48.1172541,49.4518136,51.14601561,52.71099969,52.53798821,50.86261794
Bermuda,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bermuda,Renewable electricity share of total electricity output (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,Renewable energy share of Total Energy Produced (%),0,0,0,0,0,0,0,2.360273122,2.277817029,2.608358993,2.39176852,2.316647053,2.135004665,1.928165793,1.994798608,2.359588007
Bhutan,Access to electricity (% of total population),34.91934204,39.3070755,43.68245697,41.1,52.42043686,59.80811164,61.1817894,71.8,70.01350403,74.46164703,73.28291087,83.40899658,91.5,92.40441895,96.91264343,98.42352295
Bhutan,Renewable electricity share of total electricity output (%),100,99.97814898,99.95865347,99.91696651,99.92356039,99.94334278,99.96018404,99.96952149,99.99856345,99.99857104,99.99590628,99.99575522,99.99707033,99.99345562,99.99286108,99.99354643
Bhutan,Renewable energy share of Total Energy Produced (%),91.39804294,91.74846899,91.20076088,91.91666116,93.45288447,91.66008274,91.92134946,92.18682668,91.99947653,92.60601762,90.89041792,89.60533207,88.04230639,87.03783621,87.025618,86.90454832
Bolivia,Access to electricity (% of total population),69.963045,69.258539,63.996855,72.3,76.05091858,68.288209,76.211281,80.156567,84.674991,86.765597,84.29481506,88.335943,90.387375,89.505686,90.038729,91.522822
Bolivia,Renewable electricity share of total electricity output (%),51.52061856,54.84924623,53.94359465,47.11449677,48.70661066,41.25816993,41.86792453,41.69863969,41.37871755,39.48701193,33.95307658,34.1966759,32.3064874,32.17606944,28.00685323,31.40243902
Bolivia,Renewable energy share of Total Energy Produced (%),27.39057224,28.31460635,27.73588747,26.08480999,24.50797649,23.47907528,22.55407157,21.52959584,20.50598261,19.99222073,20.0699703,19.28839817,17.9232292,18.63526119,16.8179625,17.53818183
Bosnia and Herzegovina,Access to electricity (% of total population),98.76785278,99.4,98.5,99.04735565,99.1321106,99.22267914,99.38727699,99.7,99.58003998,99.72540283,99.85575867,99.70578055,99.98661804,99.99848938,100,100
Bosnia and Herzegovina,Renewable electricity share of total electricity output (%),48.84456803,48.70276368,48.84561892,39.95206817,46.97517285,47.59561974,44.00781426,33.95281738,32.83410915,39.82001532,46.86989021,28.71073298,29.93182787,41.46467251,36.72648515,35.51730757
Bosnia and Herzegovina,Renewable energy share of Total Energy Produced (%),19.35300602,20.27413108,21.21463539,20.14059236,20.10019147,19.7354797,18.12465907,14.84060655,14.27801053,17.43482699,19.56884689,14.15822839,15.27916627,19.47739656,41.74546278,40.75006023
Botswana,Access to electricity (% of total population),27.30547333,24.8,31.36442184,33.38143921,35.39823532,37.42087555,39.45542145,41.50793457,43.1,45.67902756,47.79311371,53.24,52.06333923,54.21347046,56.36960983,58.52875137
Botswana,Renewable electricity share of total electricity output (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0.108342362,0.043233895,0.033704078
Botswana,Renewable energy share of Total Energy Produced (%),36.55527024,35.66621267,34.24983847,34.22901582,32.12284439,30.76437067,29.36829786,27.66677971,27.1607735,28.27674239,30.18609325,29.99679664,29.74852595,29.21884894,28.80052102,28.87982699
Brazil,Access to electricity (% of total population),94.46656799,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.88305664,99.328691,99.519494,99.575151,99.650247,99.710902
Brazil,Renewable electricity share of total electricity output (%),89.49270586,84.28744505,85.738173,87.16360313,86.03211228,87.12462751,86.74765165,88.21467965,84.26642365,88.99577577,84.72423388,87.120997,82.4482831,76.68920812,73.08207385,73.96690805
Brazil,Renewable energy share of Total Energy Produced (%),42.79877399,41.47787881,43.02456209,45.30866138,45.38996097,46.34794058,46.90506004,47.41762519,47.26330741,49.11372304,47.00666157,45.46855053,43.6207953,42.44784254,41.84187872,43.7903892
